Title,Date,Time,Content,Link
Honey Lee bị điều tra,20/2/2025,18:40,Một người dân Hàn Quốc đã nộp đơn lên đồn cảnh sát Gangnam ở Seoul để yêu cầu điều tra Honey Lee về nghi ngờ trốn thuế.,https://znews.vn/honey-lee-bi-dieu-tra-post1533005.html
Diễn viên Đình Thế đột ngột qua đời ở tuổi 22,20/2/2025,17:28,"Diễn viên Đình Thế (nghệ danh Moon) - góp mặt lồng tiếng trong nhiều phim điện ảnh lẫn truyền hình qua đời đột ngột, hưởng dương 22 tuổi.",https://znews.vn/dien-vien-dinh-the-dot-ngot-qua-doi-o-tuoi-22-post1532991.html
Trúc Anh sau nhiều năm không đóng phim,20/2/2025,16:57,Trúc Anh kín tiếng nhiều năm qua. Cô hạn chế chia sẻ hình ảnh cá nhân trên mạng xã hội hay tham gia các dự án phim ảnh.,https://znews.vn/truc-anh-sau-nhieu-nam-khong-dong-phim-post1532980.html
Ca sĩ nổi tiếng Tây Tạng qua đời ở tuổi 39,20/2/2025,16:01,Công ty quản lý xác nhận Anduo Luosang qua đời ở tuổi 39 vì biến chứng của bệnh lao và tiểu đường. Nam ca sĩ nhập viện ngày 17/2 và mất sau một ngày điều trị.,https://znews.vn/ca-si-noi-tieng-tay-tang-qua-doi-o-tuoi-39-post1532973.html
Gia đình hoãn chôn cất Từ Hy Viên theo hình thức thụ táng,20/2/2025,15:43,DJ Koo Jun Yup muốn tìm địa điểm chôn cất mới nên lễ thụ táng của nữ diễn viên Từ Hy Viên bị hoãn lại.,https://znews.vn/gia-dinh-hoan-chon-cat-tu-hy-vien-theo-hinh-thuc-thu-tang-post1532959.html
Tóc Tiên sau 5 năm cưới Touliver,20/2/2025,11:34,"Tóc Tiên và Touliver tổ chức lễ cưới ngày 20/2/2020. Sau 5 năm kết hôn, họ có cuộc sống ngọt ngào cùng sự nghiệp thăng hoa.",https://znews.vn/toc-tien-sau-5-nam-cuoi-touliver-post1532913.html
Diễn viên phim 'Mỹ nhân ngư' bị bắt,20/2/2025,11:27,"Trịnh Ký Phong, diễn viên đóng vai Trịnh tổng trong bộ phim ""Mỹ nhân ngư"" của Châu Tinh Trì, bị bắt vì tình nghi xâm hại trẻ em.",https://znews.vn/dien-vien-phim-my-nhan-ngu-bi-bat-post1532910.html
Biệt thự 35 triệu USD của Selena Gomez và chồng sắp cưới,20/2/2025,10:25,"Mua biệt thự mới vào cuối năm ngoái, song Selena Gomez và Benny Blanco chưa dọn đến ở. Cặp sao vừa đón Valentine tại nhà riêng của Benny.",https://znews.vn/biet-thu-35-trieu-usd-cua-selena-gomez-va-chong-sap-cuoi-post1532902.html
Võ Thành Tâm xuất hiện bên vợ,20/2/2025,09:37,Võ Thành Tâm vừa tổ chức tiệc sinh nhật cho hai con ở TP.HCM. Đây cũng là lần đầu tiên vợ nam diễn viên lộ diện.,https://znews.vn/vo-thanh-tam-xuat-hien-ben-vo-post1532895.html
Cuộc chơi mạo hiểm khi dừng chương trình Anh trai vượt ngàn chông gai,20/2/2025,07:05,Nhà sản xuất Anh trai vượt ngàn chông gai vừa thông báo tổ chức chương trình mới là Tân binh toàn năng nhằm thành lập nhóm nhạc. Đây là quyết định khá mạo hiểm.,https://znews.vn/cuoc-choi-mao-hiem-khi-dung-chuong-trinh-anh-trai-vuot-ngan-chong-gai-post1532831.html
"Phim Trấn Thành kiếm hàng nghìn tỷ tại Việt Nam, làng nhàng ở quốc tế",20/2/2025,06:10,"Sau khi kiếm được hàng trăm tỷ ở rạp Việt, loạt phim của Trấn Thành lần lượt ""xuất ngoại"". Song, thành tích quốc tế tương đối hạn chế.",https://znews.vn/phim-tran-thanh-kiem-hang-nghin-ty-tai-viet-nam-lang-nhang-o-quoc-te-post1532524.html
Lý do 'Kẻ đồng hành' chỉ thu hơn 900 triệu đồng ở rạp Việt,20/2/2025,06:00,"""Companion"" kể câu chuyện tình đắng cay giữa con người và robot. Tác phẩm cuốn hút khi pha trộn nhiều thể loại, song mất điểm bởi kịch bản dễ đoán.",https://znews.vn/ly-do-ke-dong-hanh-chi-thu-hon-900-trieu-dong-o-rap-viet-post1532544.html
Tuấn Hưng: 'Có những lúc muốn bỏ cuộc vì quá mệt mỏi',20/2/2025,00:00,"Tuấn Hưng cho biết khi tham gia Anh trai vượt ngàn chông gai, anh cảm thấy tự ti, sợ mọi người quay lưng. Thậm chí, đã có những lúc anh muốn bỏ cuộc vì quá mệt mỏi.",https://znews.vn/tuan-hung-co-nhung-luc-muon-bo-cuoc-vi-qua-met-moi-post1529973.html
Running Man Vietnam trở lại,19/2/2025,21:51,"Trên fanpage, nhà sản xuất xác nhận chương trình truyền hình thực tế Running Man Vietnam trở lại với mùa 3. Song, thông tin về dàn cast chưa được công bố.",https://znews.vn/running-man-vietnam-tro-lai-post1532828.html
Mai Phương Thúy gợi cảm,19/2/2025,21:00,Mai Phương Thúy gây chú ý khi đăng loạt ảnh chơi tennis trên trang cá nhân. Hoa hậu Việt Nam 2006 nhận nhiều lời khen về vóc dáng.,https://znews.vn/mai-phuong-thuy-goi-cam-post1532820.html
Bảo Thanh sau 5 năm dừng đóng phim,19/2/2025,20:17,"Bảo Thanh đã tạm dừng đóng phim được khoảng 5 năm. Thời gian qua, cô tập trung chăm sóc gia đình, nghỉ ngơi và đi du lịch.",https://znews.vn/bao-thanh-sau-5-nam-dung-dong-phim-post1532821.html
"Phim hài Thái Lan cản bước Trấn Thành, Hoàng Nam",19/2/2025,19:30,"Với sự đan xen nhịp nhàng giữa chất hài hước và không khí kinh dị, ""Rider: Giao hàng cho ma"" nhận được sự chú ý của khán giả Việt.",https://znews.vn/phim-hai-thai-lan-can-buoc-tran-thanh-hoang-nam-post1532571.html
Nam chính phim cổ trang 19+ hối hận khi quay cảnh táo bạo,19/2/2025,19:11,"Lee Hyun Wook đảm nhận vai chính trong ""The Queen Who Crowns"". Tuy nhiên, nam diễn viên hối hận và nghi ngờ bản thân khi xem lại bộ phim.",https://znews.vn/nam-chinh-phim-co-trang-19-hoi-han-khi-quay-canh-tao-bao-post1532800.html
Justin Bieber hủy theo dõi hơn 20 người nổi tiếng,19/2/2025,18:09,"Justin Bieber gây chú ý khi tiếp tục hủy theo dõi nhiều người nổi tiếng trên mạng xã hội như Diddy, The Weeknd và Benny Blanco.",https://znews.vn/justin-bieber-huy-theo-doi-hon-20-nguoi-noi-tieng-post1532786.html
Dương Thừa Lâm bí mật cưới,19/2/2025,14:51,"Nữ ca sĩ bí mật tổ chức lễ cưới với Lý Vinh Hạo vào năm ngoái. Cả hai trải qua nhiều năm gắn bó, đồng hành.",https://znews.vn/duong-thua-lam-bi-mat-cuoi-post1532756.html
"Điều gì khiến Karik và các sao 'quên điện thoại, vui hết mình'?",19/2/2025,14:00,"Giữa lúc nhiều người khoe những món đồ sang chảnh, hiện đại, Karik lại bất ngờ “flex nhẹ” hàng loạt món đồ độc lạ và dường như chưa từng xuất hiện trước đây.",https://znews.vn/dieu-gi-khien-karik-va-cac-sao-quen-dien-thoai-vui-het-minh-post1532656.html
'Nụ hôn bạc tỷ' vượt mốc 200 tỷ đồng,19/2/2025,13:43,"“Nụ hôn bạc tỷ” dắt túi 200 tỷ đồng sau khoảng 3 tuần công chiếu. Đây là bộ phim thứ 2 trong năm 2025 chạm mốc doanh thu này, sau “Bộ tứ báo thủ”.",https://znews.vn/nu-hon-bac-ty-vuot-moc-200-ty-dong-post1532637.html
Hoa hậu Catriona Gray hủy hôn,19/2/2025,13:33,Diễn viên Sam Milby xác nhận rằng anh và hôn thê Catriona Gray đã chia tay sau gần 5 năm bên nhau.,https://znews.vn/hoa-hau-catriona-gray-huy-hon-post1532648.html
